92,2,1,1,2
10,2,1,3,2
83,3,1,4,1
61,2,4,2,2
107,1,1,3,4
113,1,1,3,2
80,3,1,3,2
125,3,4,2,4
36,2,2,1,1
105,3,2,1,1
81,1,2,1,1
122,2,2,3,4
94,1,1,2,1
60,2,1,2,2
8,2,4,1,4
20,1,1,3,3
85,3,2,1,2
50,1,2,1,1
68,3,3,2,1
89,3,1,3,2
52,1,2,2,1
19,3,2,1,3
118,2,1,2,1
16,3,2,1,3
91,2,3,2,1
79,3,2,2,1
23,3,2,1,3
25,2,1,2,2
30,1,1,3,2
57,3,2,1,1
3,1,4,1,1
114,2,2,1,3
37,1,2,1,3
66,1,1,1,2
110,2,4,3,1
116,3,1,2,2
88,1,1,2,2
77,3,2,2,1
82,1,2,1,2
64,3,4,3,2
84,2,2,2,1
86,2,2,1,2
6,3,2,1,3
74,3,2,1,1
106,3,1,2,1
115,1,2,1,3
130,2,1,1,2
54,1,1,1,2
33,1,2,2,3
67,3,3,1,1
69,3,3,3,1
39,3,2,1,2
53,3,2,1,2
127,3,1,2,1
96,1,1,1,2
121,2,1,3,2
70,2,2,2,1
123,2,1,2,1
42,2,2,1,3
78,2,1,2,2
11,1,2,4,2
129,2,2,1,2
128,1,1,2,4
5,1,3,2,1
4,2,4,4,2
95,2,3,2,1
73,3,1,2,2
26,1,1,2,2
48,1,3,2,4
104,1,1,2,2
102,3,1,4,2
2,2,1,3,2
41,1,1,3,2
119,3,1,3,2
75,1,2,4,4
47,1,4,2,1
93,2,1,2,1
46,3,4,1,2
132,2,2,1,1
108,1,1,2,1
18,2,2,4,3
62,3,1,2,2
120,1,1,3,2
35,1,2,1,3
27,1,4,4,1
98,3,3,3,2
109,2,2,1,3
31,3,3,2,1
112,1,1,1,3
34,2,2,1,2
63,2,2,2,1
65,2,3,2,3
117,1,3,2,1
56,2,2,1,2
59,1,1,1,2
76,3,2,2,1
1,3,2,1,1
28,1,1,2,1
22,3,1,4,4
29,3,3,2,1
111,2,3,2,1
97,2,1,3,1
49,1,2,1,2
51,3,1,1,2
87,2,2,4,1
58,1,2,2,1
32,2,3,2,1
72,2,2,1,4
55,1,4,2,3
103,2,2,1,1
7,1,2,1,1
99,2,2,3,2
15,1,3,2,1
126,3,1,2,1
45,3,1,1,2
101,3,3,1,4
100,2,3,4,1
24,1,2,3,3
124,3,3,2,2
13,3,3,4,2
14,1,2,2,1
38,2,1,1,4
71,3,1,2,2
43,3,2,2,4
131,2,3,1,3
17,2,1,1,2
12,3,4,1,3
44,1,1,4,3
40,2,1,2,1
90,1,2,1,2
21,1,2,2,1
9,3,1,1,2
